movement,intervals,work,rest,Time ,Group,Type,Section
JSQ(2-3) + SQTH(2-3) + JLNG/LNG(2-3) + MC(4-5),16,6,3,144,,,RAMP
REST,1,,30,30,,,RAMP
PUBRP(1),10,4,2,60,,,RAMP
REST,1,,30,30,,,RAMP
[2]SQTH(8-10) + [2]FLSQ(15-20),4,20,10,120,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
[2]SQTH(8-10) + [2]FLSQ(15-20),4,20,10,120,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
[2]SQTH(8-10) + [2]FLSQ(15-20),4,20,10,120,A,,SUMMIT
REST,1,,30,30,,,SUMMIT
PUBRP(1),10,4,2,60,,,RUNOUT
REST,1,,30,30,,,RUNOUT
JSQ(2-3) + SQTH(2-3) + JLNG/LNG(2-3) + MC(4-5),16,6,3,144,,,RUNOUT
,,,,15.8,,,